,Date,title,category,account,amount,currency,type,id
732,2023-11-29 10:53:26.997,Lunch payup,Food & Drinks,Savings Bank,552.00,INR,EXPENSE,26a94d5a-a6cc-4471-98fb-dd2aa21a5d71
733,2023-11-29 08:14:04.299,Baba,Bills & Fees,Savings Bank,"10,000.00",INR,EXPENSE,8856a324-0da0-4c9d-adc6-477450008e2f
735,2023-11-29 02:30:53.478,Chotu,Bills & Fees,Savings Bank,20.00,INR,EXPENSE,ec8b5888-2e6c-4fe9-aa32-238781160408
736,2023-11-28 11:29:44.156,Auto,Transport,Cash,20.00,INR,EXPENSE,197bdb56-9809-439e-8b0c-e9473f4b000b
737,2023-11-28 02:32:00.000,Juice,Food & Drinks,Savings Bank,20.00,INR,EXPENSE,0ce745aa-d387-4c37-8c9a-c6f7641e55be
738,2023-11-27 00:34:00.000,AtrR,Transport,Metro Card,35.00,INR,EXPENSE,2a2d238e-53fe-48e3-9626-19f2cfc548a9
739,2023-11-26 23:34:00.000,Bus,Transport,Cash,10.00,INR,EXPENSE,be0f701d-f9ab-45da-9830-c0cbae52d003
740,2023-11-26 13:25:51.138,Snacks,Food & Drinks,Savings Bank,30.00,INR,EXPENSE,421ea41d-bb8d-4b03-8968-046626bf6439
741,2023-11-26 12:30:43.567,Shampoo,Bills & Fees,Savings Bank,4.00,INR,EXPENSE,7b06ff54-c71c-4b0a-9ed4-390580574d3f
742,2023-11-25 17:27:08.559,Auto,Transport,Cash,20.00,INR,EXPENSE,644d7776-1db9-4133-98c9-e5c91ad25ae1
744,2023-11-25 14:23:29.453,Exam fees,Bills & Fees,Savings Bank,800.00,INR,EXPENSE,0cb50773-b197-4d35-bd06-ac371e7557ad
745,2023-11-24 17:55:52.227,Snacks,Food & Drinks,Savings Bank,35.00,INR,EXPENSE,1b90f7f7-9f52-43fd-be51-b292e463bc70
746,2023-11-23 17:55:00.000,Bus,Transport,Cash,10.00,INR,EXPENSE,5c9dc391-1da4-423a-806f-81c431c30a13
747,2023-11-23 17:54:00.000,AtrR,Transport,Metro Card,35.00,INR,EXPENSE,1feb75ee-36a2-4182-b4cd-cf5e94ea0bdd
748,2023-11-23 14:27:00.000,Something,Bills & Fees,Savings Bank,50.00,INR,EXPENSE,1a57d7b8-8980-42b3-9d9e-fa710bc78cfe
750,2023-11-22 01:48:00.000,AtrR,Transport,Metro Card,35.00,INR,EXPENSE,6804ce0f-f9b8-4e80-8557-ce640fea5e7e
751,2023-11-22 01:48:00.000,Bus,Transport,Cash,10.00,INR,EXPENSE,41f23d61-4e65-4fa3-8704-2ad9a0be0e81
752,2023-11-21 14:27:00.000,Curd,Bills & Fees,Savings Bank,46.00,INR,EXPENSE,97c3a6b9-0d85-4d13-b1d9-c14155b1b5ff
753,2023-11-21 14:26:00.000,Snacks,Food & Drinks,Savings Bank,30.00,INR,EXPENSE,0869a6f5-c8b4-434b-9ceb-ab4f5367c691
754,2023-11-21 12:38:04.697,Bus,Transport,Cash,10.00,INR,EXPENSE,d63fad3a-737c-4f49-87bf-1e91b4c740f8
755,2023-11-21 06:57:29.028,Chotu pass,Bills & Fees,Savings Bank,200.00,INR,EXPENSE,e7362139-393e-4fc0-aecc-3e95e0e2d2a9
756,2023-11-21 05:04:04.458,AtrR,Transport,Metro Card,35.00,INR,EXPENSE,71dd54b2-734f-415e-9055-6bf8cfec6ba6
757,2023-11-21 03:14:37.522,Recharge,Bills & Fees,Savings Bank,259.00,INR,EXPENSE,277bf617-06c2-48a9-9b41-bd2492f4d0a0
758,2023-11-20 13:09:53.839,Bus,Transport,Cash,10.00,INR,EXPENSE,8b2b2cd4-076a-446c-8c78-a7611661f4b8
759,2023-11-20 08:38:31.969,Maa,Bills & Fees,Cash,50.00,INR,EXPENSE,24fa34a0-5b3a-412a-a7aa-48c00303ebd9
760,2023-11-20 04:16:05.047,AtR,Transport,Metro Card,35.00,INR,EXPENSE,543d9103-afdf-4de5-8fbf-a3a2f3341f58
762,2023-11-18 14:33:00.000,Bus pass,Transport,Savings Bank,430.00,INR,EXPENSE,f69aa535-adb7-4041-ae57-b932274200d9
763,2023-11-18 03:45:47.429,Auto,Transport,Cash,20.00,INR,EXPENSE,7c2b7f37-3ca9-4b96-84bb-795c65da17f2
764,2023-11-18 02:56:01.771,Bus,Transport,Cash,10.00,INR,EXPENSE,a7e94197-1ee2-46a3-aec3-21da0ba57087
766,2023-11-17 15:45:38.543,Saman,Bills & Fees,Savings Bank,153.00,INR,EXPENSE,b4c82d8c-d379-41fa-a79f-1ce7b917e010
767,2023-11-17 13:24:05.567,Bus,Transport,Cash,10.00,INR,EXPENSE,ebea9cf2-b39e-49c3-8263-40e3d5896c16
768,2023-11-17 07:24:46.817,AtR,Transport,Metro Card,35.00,INR,EXPENSE,9f6d08fe-6f10-4927-9260-68795190105f
769,2023-11-16 13:15:37.979,RtA,Transport,Metro Card,35.00,INR,EXPENSE,9b7679df-89b6-4a40-a3b7-e8932e98d504
770,2023-11-16 13:13:59.113,Bus,Transport,Cash,10.00,INR,EXPENSE,d12a9c4e-8d52-4701-a49a-2b2deda9d52f
772,2023-11-16 12:26:08.443,AtR,Transport,Metro Card,35.00,INR,EXPENSE,ecb52348-a164-4efc-8352-a21dd462df24
774,2023-11-15 04:43:29.264,AtR,Transport,Savings Bank,35.00,INR,EXPENSE,37772232-b8e2-4688-bc24-9c6aa69ee339
776,2023-11-14 04:40:40.406,Auto,Transport,Cash,20.00,INR,EXPENSE,bb532962-fe2e-4b2a-802c-11002d2c675a
778,2023-11-13 02:50:00.000,Print,Bills & Fees,Savings Bank,100.00,INR,EXPENSE,fcdaadae-f40a-41d5-a814-90fdda1fc01d
779,2023-11-13 02:50:00.000,AtR,Transport,Savings Bank,35.00,INR,EXPENSE,3f4284fc-a72f-4953-b7e1-878dfe903ae0
780,2023-11-12 14:21:28.134,Snacks,Food & Drinks,Savings Bank,70.00,INR,EXPENSE,7798f163-4dfa-40e2-8207-a1fd2fde64bd
781,2023-11-12 13:43:47.628,Clothes,Bills & Fees,Savings Bank,"1,050.00",INR,EXPENSE,b26a5e5c-4ac5-4c0e-a4b2-16477d2fd01f
782,2023-11-12 13:43:30.296,Clothes,Bills & Fees,Savings Bank,"1,607.00",INR,EXPENSE,bd2bd52e-5cbc-4733-ab4f-13ea9c98f284
783,2023-11-11 09:44:13.882,Snacks,Food & Drinks,Savings Bank,105.00,INR,EXPENSE,c948a557-c0b0-421b-81ed-e22f2d39f155
784,2023-11-11 04:41:00.000,Snacks,Food & Drinks,Savings Bank,140.00,INR,EXPENSE,fe578deb-0f74-4840-8139-f4211f883d5d
785,2023-11-11 03:45:36.925,Bus,Transport,Cash,10.00,INR,EXPENSE,bc5e6d26-42c9-43f6-abde-f9b07ff98957
786,2023-11-11 03:45:29.506,Auto,Transport,Cash,20.00,INR,EXPENSE,95fa706e-7e4b-407f-93e3-dcb6f49efc0d
787,2023-11-10 14:37:48.383,Haircut,Bills & Fees,Savings Bank,150.00,INR,EXPENSE,843b38b6-8935-41a6-90fa-c1663295a12c
788,2023-11-10 12:39:38.851,Bus,Transport,Cash,10.00,INR,EXPENSE,3f85c317-ed8f-498b-8a7b-3c420d50181a
789,2023-11-10 12:39:27.438,RtA,Transport,Metro Card,35.00,INR,EXPENSE,c6365a43-e34d-4c9b-b629-c3db459fbcba
790,2023-11-10 12:39:11.482,AtR,Transport,Metro Card,35.00,INR,EXPENSE,7aafd1e1-88fb-4d26-bead-a42530d0bfc4
791,2023-11-09 04:35:00.000,AtR,Transport,Metro Card,35.00,INR,EXPENSE,1195ea9c-4627-46a1-bb49-2e877cb3e8ba
792,2023-11-09 04:35:00.000,RtA,Transport,Metro Card,35.00,INR,EXPENSE,850c874a-9796-4dd1-a8c8-2d2cc8ed55bf
793,2023-11-09 04:35:00.000,Bus,Transport,Cash,10.00,INR,EXPENSE,b1473f0a-b561-420b-a8e8-0722b3642027
794,2023-11-08 14:46:33.699,RtA,Transport,Metro Card,35.00,INR,EXPENSE,33a81c8a-4cff-410d-bdea-28695365f00e
795,2023-11-08 14:46:25.456,AtR,Transport,Metro Card,35.00,INR,EXPENSE,e2d505a6-3bf0-404c-833c-d84ea1f7d3ca
796,2023-11-08 14:46:12.011,DishTV,Bills & Fees,Savings Bank,220.00,INR,EXPENSE,3c2021b3-92f8-4a91-b343-8c321411edf4
797,2023-11-08 04:43:00.000,Juice,Food & Drinks,Savings Bank,10.00,INR,EXPENSE,2214cf6a-3509-4775-9306-d1c853984d52
799,2023-11-07 12:41:00.000,RtA,Transport,Metro Card,35.00,INR,EXPENSE,cdded4a6-aa21-458d-a863-9982ce6a0d43
800,2023-11-07 10:42:39.245,Electricity,Bills & Fees,Savings Bank,774.00,INR,EXPENSE,016e9b61-dcfa-4e77-9ea4-5b40078becc9
801,2023-11-07 04:31:45.580,AtR,Transport,Metro Card,35.00,INR,EXPENSE,78888e33-2d94-478e-b4d8-35ff9169fea4
802,2023-11-07 04:31:33.413,Rapido,Transport,Savings Bank,44.00,INR,EXPENSE,beef8da0-b407-4076-a562-8a55edb5bce3
803,2023-11-06 05:23:14.984,AtR,Transport,Metro Card,35.00,INR,EXPENSE,b7b2a934-a16c-419f-8b93-7e9e2f9a62c2
804,2023-11-05 13:43:25.042,Maida,Bills & Fees,Savings Bank,25.00,INR,EXPENSE,6cd27df9-3f55-4e65-a77b-9d25259cd29e
806,2023-11-04 13:39:41.767,Sid,Food & Drinks,Savings Bank,140.00,INR,EXPENSE,86eddbaf-1a9f-4b39-a9be-bce386b02cc9
807,2023-11-04 05:26:44.731,Printouts,Bills & Fees,Savings Bank,385.00,INR,EXPENSE,d2679f4e-ce95-4a3e-a7d9-6c6b9007e2c0
808,2023-11-04 04:45:00.000,Treat,Food & Drinks,Savings Bank,650.00,INR,EXPENSE,4fa043c2-f7ca-437e-b6ee-58251377508f
810,2023-11-03 05:08:00.000,Seminar print,Bills & Fees,Savings Bank,104.00,INR,EXPENSE,18a8be6e-6669-4223-9631-a3c29b826841
811,2023-11-03 05:06:00.000,AtR,Transport,Metro Card,35.00,INR,EXPENSE,66fc0879-0791-4134-8789-c0d1b74a6cab
812,2023-11-02 12:43:39.434,Amazon,Bills & Fees,Savings Bank,"1,899.00",INR,EXPENSE,4269f611-6985-4028-85b2-ab9810ac4df7
813,2023-11-02 05:06:00.000,AtR,Transport,Metro Card,35.00,INR,EXPENSE,acf52e36-7fe6-41de-88de-bba899dfd884
814,2023-11-01 18:10:55.602,Grocery,Bills & Fees,Savings Bank,"2,320.78",INR,EXPENSE,eeb36b00-1cde-4cca-8a38-4a997eb35496
815,2023-11-01 16:20:37.828,Biryani,Food & Drinks,Savings Bank,520.00,INR,EXPENSE,922eb3ad-ce92-43ed-82e0-f432251243bb
817,2023-11-01 12:21:35.753,AtR,Transport,Metro Card,35.00,INR,EXPENSE,aaa2e7fe-1c23-4d65-ba8a-b5fc252b2c25
818,2023-11-01 12:21:26.593,Bus,Transport,Cash,10.00,INR,EXPENSE,f7018b1e-fe6e-468f-a3bb-f64bb701c1e2
819,2023-11-01 12:21:20.752,Bus,Transport,Cash,10.00,INR,EXPENSE,080dcbbd-f828-4ba0-beac-f5f32391a409
820,2023-11-01 02:30:08.193,Shampoo,Bills & Fees,Savings Bank,4.00,INR,EXPENSE,93598cf4-8222-4ffd-975a-a57bbe6a6c7f
822,2023-10-31 13:52:07.768,Bus,Transport,Cash,10.00,INR,EXPENSE,f8e9144e-95b6-42b1-aa50-75ca623456d4
823,2023-10-31 12:04:29.967,AtR,Transport,Metro Card,35.00,INR,EXPENSE,77a06c9e-4a6c-4a25-9962-4639e7df0344
824,2023-10-30 12:21:01.699,Bus,Transport,Cash,20.00,INR,EXPENSE,265e9b8f-0bb9-41f5-af2b-3adee382c252
825,2023-10-30 04:38:50.763,Bus,Transport,Cash,20.00,INR,EXPENSE,7b6c432c-ce1a-4069-b0aa-016345fd4f13
826,2023-10-28 05:11:50.025,Snacks,Food & Drinks,Savings Bank,30.00,INR,EXPENSE,56413879-e433-453c-9635-68c5704a2eeb
827,2023-10-27 13:39:24.498,AtR,Transport,Metro Card,35.00,INR,EXPENSE,97d200a4-8a14-49aa-afd9-6f7096ffb383
828,2023-10-27 13:39:13.463,Bus,Transport,Cash,10.00,INR,EXPENSE,e29cc138-af79-4cf1-bb31-bf3147ea054d
830,2023-10-26 12:16:39.077,AtR,Transport,Metro Card,35.00,INR,EXPENSE,7a4a6e3b-c8ee-4544-9360-fb1cfb8f2180
831,2023-10-26 12:16:26.990,Bus,Transport,Cash,10.00,INR,EXPENSE,0cfdc995-94a3-49bd-bdc4-22e72dbb704e
832,2023-10-26 07:21:17.388,Chotu,Bills & Fees,Savings Bank,200.00,INR,EXPENSE,bdd73ad9-634f-404c-8d9b-869f6af5a207
833,2023-10-26 03:19:00.000,Bus,Transport,Cash,10.00,INR,EXPENSE,37abc86e-1ccc-4208-a4ab-c8d82ad550d7
836,2023-10-25 18:06:00.940,Nidhish Payup,Bills & Fees,Savings Bank,60.00,INR,EXPENSE,7cfc848a-405e-4a42-b084-c9cb747e988a
837,2023-10-25 18:05:16.186,Recharge,Bills & Fees,Savings Bank,470.82,INR,EXPENSE,5ee52a27-7ed5-47c1-9e97-130602892c04
839,2023-10-24 18:04:00.000,Biryani 🍚,Food & Drinks,Savings Bank,356.00,INR,EXPENSE,6b5bcf06-600e-4921-8b15-f2ad78824b97
841,2023-10-24 18:02:00.000,Egg Roll 🌯,Food & Drinks,Savings Bank,140.00,INR,EXPENSE,1a6ced53-ddaf-424f-bc75-b4609a8421d5
842,2023-10-24 18:01:00.000,Bus Pass 💳,Transport,Savings Bank,440.00,INR,EXPENSE,e091c498-3f42-4136-855d-9abe5e9c23c6
843,2023-10-24 18:00:00.000,Adjust,Bills & Fees,Savings Bank,40.00,INR,EXPENSE,9f9e561d-fbe6-4cd6-9a86-4f17f17b5e35
844,2023-10-23 17:57:00.000,Rapido 🚲,Transport,Savings Bank,74.00,INR,EXPENSE,adc6a73d-0802-478a-b225-59c573492a37
845,2023-10-23 17:47:00.000,Adjust,Bills & Fees,Savings Bank,10.00,INR,EXPENSE,f30bed0f-ca8e-4698-80c9-e0c215eebfb2
846,2023-10-22 17:45:00.000,Egg roll 🌯,Food & Drinks,Savings Bank,160.00,INR,EXPENSE,809b23a7-509e-439a-8651-0cc57f29ede3
848,2023-10-22 16:38:00.000,Recharge,Bills & Fees,Savings Bank,259.00,INR,EXPENSE,be8e28eb-da75-4416-80ca-0c6672e99c28
